Estacion,Laguna,Abundancia,Riqueza,Shannon_H,Equitatividad_J,Nombre,Zona,pH,Temperatura ,Oxigeno mg/L,Conductividad ,Profundidad m,Turbidez m,ph lab,DBO5 mg O2/L,DQO,NO3- mg/L,NO2- mg/L,Hora,Fecha
verano,Crespo L2,154.4444445,7,1.382527424,0.710478552,Crespo,L2,9.45,23.2,1.2,1210,0.25,0.25,12.34,0,20,<0.5,0.023,09:48,26/03/2024
verano,Hernandez L1,733.3333333,23,2.696047302,0.85984764,Hernandez,L1,9.45,24.7,0.6,133,0.65,0.3,9.73,0,64,1.8,0.0072,11:10,26/03/2024
verano,Hernandez C,396.6666666,21,2.576252522,0.846192654,Hernandez,C,6.98,23.6,1.4,137,0.95,0.4,9.73,0,64,1.8,0.0072,11:20,26/03/2024
verano,Hernandez L2,440,27,2.918372944,0.885472511,Hernandez,L2,6.8,23.6,1.2,144,0.9,0.4,9.73,0,64,1.8,0.0072,11:35,26/03/2024
verano,Espinillo L1,62,18,2.541035939,0.879138101,Espinillo,L1,9.12,26.5,1.9,1528,0.6,0.3,11.33,0,45,1.4,0,08:10,12/03/2024
verano,Espinillo C,60.66666666,11,1.364994416,0.569246885,Espinillo,C,8.97,26.1,1.6,1470,0.8,0.8,11.33,0,45,1.4,0,08:00,12/03/2024
verano,Espinillo L2,68,6,1.216961681,0.679199246,Espinillo,L2,8.5,25.4,0.41,1436,0.41,0.41,11.33,0,45,1.4,0,07:40,12/03/2024
otonio,Termas L1,69.99999999,13,1.698571496,0.662224184,Termas,L1,9.47,16,3,178,0.69,0.69,7.8,0,29,1.1,0,16:20,04/06/2024
otonio,Termas C,64,8,1.378512005,0.662924145,Termas,C,9.83,16,3.1,211,0.68,0.68,7.8,0,29,1.1,0,16:27,04/06/2024
otonio,Termas L2,65.33333333,6,1.265316617,0.70618665,Termas,L2,9.71,15.8,3.3,218,0.58,0.5,7.8,0,29,1.1,0,16:35,04/06/2024
otonio,Viale L1,123.3333333,10,1.645769841,0.71474876,Viale,L1,7.98,16,1.6,112,0.67,0.2,7.45,0,29,2.7,0,15:00,04/06/2024
otonio,Viale C,45.41666666,15,2.203919344,0.813839914,Viale,C,7.8,16,1.6,113,1.1,0.2,7.45,0,29,2.7,0,15:10,04/06/2024
otonio,Viale L2,108.3333333,10,1.311025917,0.569371321,Viale,L2,7.92,15.4,2.2,115,0.73,0.18,7.45,0,29,2.7,0,15:18,04/06/2024
otonio,Inta L1,89.16666667,8,1.199731869,0.576949072,Inta,L1,8.59,14.7,4.7,525,0.45,0.45,8.2,0,47,1.1,0,14:40,05/06/2024
otonio,Inta C,21.2962963,12,2.3389746,0.941272623,Inta,C,8.45,13.3,3.5,535,1.3,1.1,8.2,0,47,1.1,0,14:55,05/06/2024
otonio,Inta L2,27.77777778,11,2.050803051,0.855251301,Inta,L2,8.5,14,3.5,535,0.3,0.15,8.2,0,47,1.1,0,15:18,05/06/2024
otonio,Gazano L1,1323.333333,7,1.083098372,0.556602458,Gazano,L1,9.29,12.1,4.2,414,0.37,0.27,7.51,0,40,2.4,0,09:30,04/06/2024
otonio,Gazano C,6613.333333,5,0.805098181,0.500235626,Gazano,C,9.02,12.3,4,450,0.32,0.26,7.51,0,40,2.4,0,09:40,04/06/2024
