,Crespo,Espinillo,Gazano,Hernandez,Inta,Termas,Viale
Crespo,1.0,0.1724137931034483,0.125,0.16,0.13043478260869565,0.2777777777777778,0.21052631578947367
Espinillo,0.1724137931034483,1.0,0.14285714285714285,0.16216216216216217,0.3333333333333333,0.32142857142857145,0.1935483870967742
Gazano,0.125,0.14285714285714285,1.0,0.08,0.2631578947368421,0.4,0.23529411764705882
Hernandez,0.16,0.16216216216216217,0.08,1.0,0.2962962962962963,0.23076923076923078,0.28
Inta,0.13043478260869565,0.3333333333333333,0.2631578947368421,0.2962962962962963,1.0,0.38095238095238093,0.3181818181818182
Termas,0.2777777777777778,0.32142857142857145,0.4,0.23076923076923078,0.38095238095238093,1.0,0.4444444444444444
Viale,0.21052631578947367,0.1935483870967742,0.23529411764705882,0.28,0.3181818181818182,0.4444444444444444,1.0
