,Crespo,Espinillo,Gazano,Hernandez,Inta,Termas,Viale
Crespo,1.0,0.27835051546391754,0.2876712328767123,0.21951219512195122,0.313953488372093,0.24,0.2558139534883721
Espinillo,0.27835051546391754,1.0,0.24210526315789474,0.27007299270072993,0.2803738317757009,0.3333333333333333,0.24528301886792453
Gazano,0.2876712328767123,0.24210526315789474,1.0,0.152,0.3375,0.3111111111111111,0.2289156626506024
Hernandez,0.21951219512195122,0.27007299270072993,0.152,1.0,0.2734375,0.23404255319148937,0.2153846153846154
Inta,0.313953488372093,0.2803738317757009,0.3375,0.2734375,1.0,0.3564356435643564,0.32967032967032966
Termas,0.24,0.3333333333333333,0.3111111111111111,0.23404255319148937,0.3564356435643564,1.0,0.375
Viale,0.2558139534883721,0.24528301886792453,0.2289156626506024,0.2153846153846154,0.32967032967032966,0.375,1.0
