,Crespo,Espinillo,Gazano,Hernandez,Inta,Termas,Viale
Crespo,1.0,0.24324324324324326,0.375,0.2222222222222222,0.1875,0.13333333333333333,0.2
Espinillo,0.24324324324324326,1.0,0.21621621621621623,0.34,0.28205128205128205,0.3404255319148936,0.2631578947368421
Gazano,0.375,0.21621621621621623,1.0,0.14893617021276595,0.32142857142857145,0.3157894736842105,0.4
Hernandez,0.2222222222222222,0.34,0.14893617021276595,1.0,0.2553191489361702,0.3090909090909091,0.1875
Inta,0.1875,0.28205128205128205,0.32142857142857145,0.2553191489361702,1.0,0.375,0.3793103448275862
Termas,0.13333333333333333,0.3404255319148936,0.3157894736842105,0.3090909090909091,0.375,1.0,0.325
Viale,0.2,0.2631578947368421,0.4,0.1875,0.3793103448275862,0.325,1.0
